1.,The Shawshank Redemption,1994,9.3
2.,The Godfather,1972,9.2
3.,The Dark Knight,2008,9.0
4.,The Godfather: Part II,1974,9.0
5.,The Lord of the Rings: The Return of the King,2003,8.9
6.,Pulp Fiction,1994,8.9
7.,Schindler's List,1993,8.9
8.,12 Angry Men,1957,8.9
9.,Fight Club,1999,8.8
10.,The Lord of the Rings: The Fellowship of the Ring,2001,8.8
11.,Forrest Gump,1994,8.8
12.,The Lord of the Rings: The Two Towers,2002,8.7
13.,Goodfellas,1990,8.7
14.,One Flew Over the Cuckoo's Nest,1975,8.7
15.,Shichinin no samurai,1954,8.7
16.,Interstellar,2014,8.6
17.,Cidade de Deus,2002,8.6
18.,Saving Private Ryan,1998,8.6
19.,The Green Mile,1999,8.6
20.,La vita è bella,1997,8.6
21.,Se7en,1995,8.6
22.,Léon,1994,8.6
23.,The Silence of the Lambs,1991,8.6
24.,It's a Wonderful Life,1946,8.6
25.,Dangal,2016,8.5
26.,Whiplash,2014,8.5
27.,The Intouchables,2011,8.5
28.,The Prestige,2006,8.5
29.,The Departed,2006,8.5
30.,The Pianist,2002,8.5
31.,Gladiator,2000,8.5
32.,American History X,1998,8.5
33.,The Lion King,1994,8.5
34.,Nuovo Cinema Paradiso,1988,8.5
35.,Hotaru no haka,1988,8.5
36.,Apocalypse Now,1979,8.5
37.,Casablanca,1942,8.5
38.,The Great Dictator,1940,8.5
39.,Modern Times,1936,8.5
40.,City Lights,1931,8.5
41.,Kimi no na wa.,2016,8.4
42.,Django Unchained,2012,8.4
43.,3 Idiots,2009,8.4
44.,Taare Zameen Par,2007,8.4
45.,Babam ve Oglum,2005,8.4
46.,The Lives of Others,2006,8.4
47.,Oldeuboi,2003,8.4
48.,American Beauty,1999,8.4
49.,Braveheart,1995,8.4
50.,Once Upon a Time in America,1984,8.4
